Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1427718936;0.118978011;0.1104682373;0.1181807079;0.1414675001;1
1;0.1724264856;0.2580821438;0.3818224661;0.2711267064;0.1788320648;1769.904936
2;0.1457373528;0.1328884243;0.1376036602;0.1334753077;0.1452039566;8.831685189
3;0.1435075206;0.1224286996;0.1171995897;0.1219747649;0.1423943847;0.01962906763
4;0.1711449811;0.1074040629;-1.387778781e-17;0.3355820047;0.3188631075;299.3353714
5;0.1462712667;0.1209262359;0.1054796307;0.1433354889;0.160041257;2.52710148
6;0.1437838953;0.1222784532;0.1160275938;0.1241108373;0.1441590719;0.005482340023
7;0.238463311;0.3312916368;0;0.1022099747;0.2828715332;304.1420932
8;0.1532518368;0.1431797716;0.1044248344;0.121920751;0.1580303181;2.607662677
9;0.1447306894;0.124368585;0.1148673178;0.1238918286;0.1455461965;0.01196014948
10;0.1441138342;0.1230068225;0.1156232607;0.1240345171;0.1446424572;0.003079095983
11;0;0.1464612842;0.150764556;0.01847534069;0.3630410916;79.23854554
12;0.1297024507;0.1253522687;0.1191373903;0.1134785995;0.1664823207;0.6575404069
13;0.1426726958;0.1232413671;0.1159746737;0.1229789254;0.1468264436;0.006604564271
14;0.1437675245;0.1230631842;0.1157077063;0.1237808554;0.1451672754;0.002691613781
15;0.2270149495;0.06864038323;0.1498570017;0.08431214212;0.1988199929;31.28912267
16;0.152092267;0.1176209041;0.1191226358;0.1198339841;0.1505325471;0.125786534
17;0.1445999987;0.1225189562;0.1160491992;0.1233861683;0.1457038026;0.003632215246
18;0.1438507719;0.1230087614;0.1157418556;0.1237413867;0.1452209281;0.00268242631
19;0.143772435;0.1232334691;0.1164779365;0.1233203763;0.14470946;0.0004701232173
20;0.1437905507;0.1231658417;0.1162746719;0.1234213171;0.144849334;6.766264858e-05
21;0.1437902783;0.1231670976;0.1162735138;0.1234226099;0.1448490858;6.765648275e-05
22;0.1437902678;0.1231671123;0.1162735048;0.1234226082;0.1448490606;6.765648112e-05
23;0.1437901543;0.1231673717;0.1162755196;0.1234241557;0.1448492479;6.773158799e-05
24;0.1437902565;0.1231671383;0.1162737063;0.123422763;0.1448490794;6.765723166e-05
25;0.1437902678;0.1231671123;0.1162735048;0.1234226082;0.1448490606;6.765648112e-05
