Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1717531209;0.1485295453;0.1340653358;0.1366183014;0.1537658787;1
1;0.1419241477;0.07007943075;0;0.05187399986;0.1206663432;7.818650606
2;0.1626872999;0.124686462;0.09331930254;0.1108622467;0.1437060466;0.3926807154
3;0.04617730285;0.05664382688;0.2248451671;0.005169532172;0;18.18876291
4;0.1510363002;0.1178821985;0.106471889;0.1002929752;0.1293354419;0.3198499143
5;0.02416232243;0.1337157516;0.07396016354;0.2243247858;0;18.6672879
6;0.1383489024;0.1194655538;0.1032207165;0.1126961563;0.1164018977;0.3127243242
7;0.01097830097;0.3773899328;0.0373886495;0.07572435332;0;50.19595084
8;0.1256118423;0.1452579917;0.09663750976;0.108998976;0.104761708;0.8019783921
9;0.1370751964;0.1220447976;0.1025623958;0.1123264382;0.1152378787;0.3111437488
10;0.1794774477;0.1447288498;0.1234365258;0.1138245697;0.1263633098;0.2466314404
11;0;0.1477565892;0.1583976691;0.1081044865;0.3455563625;6.767444857
12;0.1615297029;0.1450316237;0.1269326401;0.1132525614;0.1482826151;0.2100788106
13;0.1477523382;0.1318377832;0.1177767558;0.1102673258;0.1320484686;0.00969699731
14;0.1512246599;0.1313679978;0.1176272405;0.114653295;0.1321063033;0.0008455900044
15;0.1520766473;0.1307964747;0.1173803805;0.1166143101;0.1312880124;7.427222862e-05
16;0.1521006197;0.1306972607;0.1172677796;0.1169617297;0.1309200802;4.584951495e-05
17;0.1520230814;0.1307386773;0.1171827805;0.117106315;0.130757858;3.438261281e-05
18;0.1517662318;0.130971869;0.1169705371;0.1173567018;0.1305172051;1.325925406e-05
19;0.1515554775;0.1312228313;0.1168281143;0.1174471501;0.1304777027;2.944684661e-06
20;0.1514823784;0.1313441997;0.1167941502;0.1174185546;0.130547023;4.465019458e-07
21;0.1514882919;0.1313516743;0.1168040311;0.117391597;0.1305818579;2.898966353e-07
22;0.1514918998;0.1313489262;0.1168071614;0.1173871978;0.130586418;2.871013922e-07
23;0.1514921235;0.1313486375;0.1168073354;0.1173870585;0.1305865071;2.870943988e-07
24;0.1514921235;0.1313486375;0.1168073354;0.1173870585;0.1305865071;2.870943988e-07
25;0.1514912398;0.1313459217;0.1168063884;0.1173871222;0.130586346;2.90925822e-07
26;0.1514920351;0.131348366;0.1168072407;0.1173870649;0.130586491;2.871322791e-07
27;0.1514921235;0.1313486375;0.1168073354;0.1173870585;0.1305865071;2.870943988e-07
