Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1886039275;0.1701420973;0.1607608971;0.1672390774;0.1846789431;1
1;0.1534475085;0.07449834224;0;0.06633300402;0.1452563554;19.16101364
2;0.180625251;0.148435945;0.1242765442;0.1443386529;0.1757320684;0.5414470575
3;0.05850568619;0.09957760227;0.2665242096;0.01510491938;0;49.96096046
4;0.1684132945;0.1435501108;0.1385013108;0.1314152795;0.1581588616;0.4997246681
5;0.02052444038;0.1598398351;0.1090798555;0.2636227355;0;56.88700806
6;0.1536244091;0.1451790832;0.1355591653;0.1446360251;0.1423429754;0.5432007019
7;0.162813884;0.144166877;0.1373873471;0.1364209564;0.1521706051;0.4888096658
8;0.2336555649;0.3543597568;0.06986618825;0.1002832977;0;53.42084389
9;0.1698980521;0.165186165;0.1306352313;0.1328071906;0.1369535446;0.8143468214
10;0.1635223008;0.1462688058;0.1367121356;0.1360595798;0.150648899;0.4844308185
11;0.5040123674;0.03627916694;0.1880244621;0.2831715928;0;43.1619681
12;0.1975713075;0.1352698419;0.1418433682;0.1507707811;0.1355840091;0.4536184159
13;0.2605057824;0.2929678406;0.2673424892;0.2734179981;0.5260147033;142.8848873
14;0.203864755;0.1510396418;0.1543932803;0.1630355028;0.1746270785;0.3023747877
15;0.1658878881;0.1568666673;0.1462332292;0.1509181295;0.1608157086;0.0112367818
16;0.1856363491;0.1483269396;0.1471215526;0.1510574858;0.1633686128;0.01517082455
17;0.1750687095;0.1528966508;0.1466462;0.1509829146;0.162002523;0.004297908646
18;0.1759713574;0.1552142582;0.1462028023;0.1520409316;0.1643596676;0.0006694265953
19;0.1751134767;0.1559014395;0.1457393844;0.1519019124;0.1648205411;0.0002562188652
20;0.1738678733;0.1567539837;0.1453762305;0.1517397273;0.1652633073;7.532858595e-05
21;0.1738230514;0.1567980115;0.1454013046;0.1516764957;0.1652828534;6.544728289e-05
22;0.1737442658;0.156814746;0.1455915844;0.1513596399;0.1654756429;3.001047602e-05
23;0.1738101614;0.1566902011;0.1457597763;0.1511102233;0.1657097735;1.016190761e-05
24;0.1739375553;0.1565141367;0.1458746454;0.1509609122;0.1659165582;9.029553063e-07
25;0.173983731;0.1564629137;0.145879201;0.1509641967;0.1659483902;3.406061031e-08
26;0.1739891848;0.1564589958;0.1458730481;0.1509747469;0.1659446528;4.780553515e-10
27;0.1739889366;0.1564595391;0.1458721269;0.1509760848;0.1659434873;2.200324731e-10
28;0.1739888942;0.1564595957;0.1458720879;0.1509761341;0.1659434199;2.193461487e-10
29;0.1739888913;0.1564601022;0.1458724681;0.1509759954;0.1659432293;5.110280184e-10
30;0.1739888942;0.1564595957;0.1458720879;0.1509761341;0.1659434199;2.193461487e-10
