Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1726571486;0.1461353456;0.1297223283;0.1313018488;0.1501114347;1
1;0.1279866742;0.06359333036;-2.775557562e-17;0.02940718741;0.1029726256;580.7718342
2;0.1681901012;0.1378811441;0.1167500955;0.1211123826;0.1453975538;9.233723808
3;0.1716759237;0.14432224;0.126872867;0.1290636458;0.1490759906;0.2387034569
4;0.01749462135;0.08965484375;0.2453995821;0.03826485996;0;1867.445338
5;0.1562577934;0.1388555004;0.1387255385;0.1199837673;0.1341683916;7.975454354
6;0.1697928484;0.1436545662;0.1283204792;0.1279546855;0.1472552685;0.05281352311
7;0;0.1484844101;0.07072640252;0.276736214;0.07877873818;2892.426534
8;0.1528135636;0.1441375506;0.1225610715;0.1428328384;0.1404076155;11.72626104
9;0.1680949199;0.1437028646;0.1277445384;0.1294425008;0.1465705032;0.04211164518
10;0.0248844231;0.3743102192;0.02069086743;0.1867613312;0;7554.261232
11;0.1537738702;0.1667636001;0.1170391713;0.1351743838;0.1319134529;55.26956326
12;0.166662815;0.1460089382;0.1266740017;0.1300156891;0.1451047981;0.07031668359
13;0.1674947774;0.1446692552;0.1272959159;0.1296827029;0.1459562801;0.03425924011
14;0.2756737009;0.1089866275;0.1179395905;0.1897913241;0;999.2417193
15;0.1783126698;0.1411009924;0.1263602833;0.135693565;0.1313606521;3.866322686
16;0.1685765667;0.1443124289;0.1272023526;0.1302837891;0.1444967173;0.04813508243
17;0.1676029564;0.1446335726;0.1272865595;0.1297428115;0.1458103239;0.03429823761
18;0.1675350837;0.1446559602;0.1272924298;0.1297050988;0.1459018984;0.03423812004
19;0.1668986568;0.1440195121;0.1287522929;0.1279806917;0.1450172555;0.004697998067
20;0.1670678854;0.1441840618;0.1283505708;0.1284732826;0.1451729488;0.0001687897195
21;0.1670567609;0.144195133;0.1283436341;0.1284737722;0.1451784999;0.0001668187426
22;0.167054881;0.1441963173;0.1283432465;0.1284735981;0.1451788855;0.0001667971962
23;0.167054881;0.1441963173;0.1283432465;0.1284735981;0.1451788855;0.0001667971962
24;0.166899543;0.1442991793;0.1288932293;0.1285420903;0.1452044445;0.01207956326
25;0.1670393472;0.1442066035;0.1283982448;0.1284804473;0.1451814414;0.0002858711228
26;0.1670533277;0.1441973459;0.1283487464;0.128474283;0.1451791411;0.000167986341
27;0.1670547257;0.1441964201;0.1283437965;0.1284736666;0.1451789111;0.000166808932
28;0.167054881;0.1441963173;0.1283432465;0.1284735981;0.1451788855;0.0001667971962
