Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.2458064778;0.240423013;0.2418378322;0.2515880204;0.2603118939;1
1;0.3085144939;0.4649795315;0.7558667148;0.3561239049;0.3765680569;239449.1972
2;0.2520772794;0.2628786648;0.2932407205;0.2620416088;0.2719375102;3153.457639
3;0.246433558;0.2426685781;0.246978121;0.2526333792;0.2614744555;16.54330231
4;0.2459330717;0.2408763439;0.2428755452;0.2517990557;0.2605465899;0.05901956476
5;0.5471924758;0.2035483767;0.1448592579;0.2040315414;0.7558667148;8861.428784
6;0.2760590121;0.2371435472;0.2330739165;0.2470223042;0.3100786024;70.91081278
7;0.2489456658;0.2405030643;0.2418953824;0.2513213805;0.2654997912;0.4922283191
8;0.2466299033;0.2407900021;0.2426488275;0.2516885665;0.261692296;0.02440729723
9;0.6643923797;0.2697518416;0.05888619223;0.7558667148;0.3978509859;291746.3205
10;0.288406151;0.243686186;0.224272564;0.3021063813;0.275308165;2813.561941
11;0.2508075281;0.2410796204;0.2408112012;0.2567303479;0.2630538829;21.1971078
12;0.2470476658;0.2408189639;0.2424650649;0.2521927446;0.2618284547;0.02433697008
13;0.7558667148;0.4730200025;0.1238889285;0.230905497;0.1076046931;22639.92592
14;0.2979295707;0.2640390678;0.2306074512;0.2500640198;0.2464060785;296.0644141
15;0.2521358563;0.2431409743;0.2412793035;0.2519798721;0.2602862171;2.366925148
16;0.2475564848;0.2410511649;0.2423464887;0.2521714574;0.2616742309;0.03390230404
17;0.2471719029;0.2408756598;0.2424361124;0.252187547;0.2617907982;0.0232814891
18;0.506337056;0;0.3508719635;0.2201271548;0.1425538986;64680.88696
19;0.2730884182;0.2167880939;0.2532796975;0.2489815077;0.2498671083;418.8605969
20;0.2497635544;0.2384669032;0.2435204709;0.251866943;0.2605984292;0.1225304129
21;0.2484677286;0.2396712815;0.2429782917;0.252027245;0.2611946137;0.0430474607
22;0.2473923086;0.2406708083;0.2425283312;0.2521602813;0.2616893938;0.02241700036
23;0.2470722256;0.2407372336;0.2425867151;0.2519462576;0.2614721864;0.01465439863
24;0.2470379346;0.2406901629;0.2425858222;0.2520188026;0.2613071614;0.01365206212
25;0.2470597138;0.2407136834;0.2425659369;0.2520027361;0.2613768904;0.01344674727
26;0.2470618391;0.240722549;0.2425550345;0.2520128683;0.2613762078;0.01342461347
27;0.2470609819;0.2407210383;0.2425560086;0.2520126076;0.2613739015;0.0134244163
28;0.2470610279;0.2407210384;0.2425559989;0.2520126041;0.261373985;0.01342441595
29;0.2470229294;0.240437794;0.2420224432;0.2520992059;0.261336953;0.2597851791
30;0.2470572181;0.240692714;0.2425026433;0.2520212643;0.2613702818;0.0157471082
31;0.2470606469;0.240718206;0.2425506633;0.2520134702;0.2613736146;0.01344752213
32;0.2470609898;0.2407207552;0.2425554653;0.2520126907;0.2613739479;0.01342464354
33;0.2470610279;0.2407210384;0.2425559989;0.2520126041;0.261373985;0.01342441595
