Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1808857633;0.1610221777;0.1496961661;0.1548909837;0.172278578;1
1;0.1450585825;0.07078515741;0;0.05843174661;0.1325760323;5.040952053
2;0.1683903169;0.1295502109;0.09748663214;0.1212488942;0.1584315206;0.3863749697
3;0.03896086735;0.06344862594;0.2346097811;0.01539699617;0;28.37444277
4;0.155447372;0.1229400524;0.111198947;0.1106637044;0.1425883685;0.3054130365
5;0.02559000221;0.1720754176;0.06213896758;0.242538079;0;44.13827544
6;0.142461635;0.1278535889;0.1062929491;0.1238511419;0.1283295317;0.327481656
7;0.1499113695;0.1250347622;0.1091074511;0.1162856947;0.1365096257;0.293323275
8;0.1477108233;0.336779171;0.06059314998;0.06800397392;0;40.5176474
9;0.1496913149;0.1462092031;0.1042560209;0.1114575226;0.1228586631;0.5670255875
10;0.149889364;0.1271522063;0.108622308;0.1158028775;0.1351445294;0.2904860152
11;0.192788628;0.1368954088;0.1498188892;0.1569640856;0.120717654;0.8478794628
12;0.1643987468;0.1304475508;0.1225558097;0.1297244153;0.1302650737;0.04332147025
13;0;0.2232972095;0.1618585174;0.111325562;0.2924998959;16.59980558
14;0.1479588722;0.1397325167;0.1264860805;0.1278845299;0.1464885559;0.008452097934
15;0.1909780806;0.1185829543;0.1482792398;0.1187820918;0.1575256741;0.6891908388
16;0.1529050734;0.1373008124;0.1289917833;0.1268379628;0.147757566;0.00225189387
17;0.155672671;0.1388138967;0.1287816402;0.1267153871;0.1455966222;0.001039279174
18;0.1556052949;0.138735673;0.1284176253;0.1277133573;0.1450605004;0.0005348871472
19;0.1557140183;0.1387031868;0.1274202073;0.1299653819;0.1427737127;5.015913668e-06
20;0.1557417769;0.138763141;0.1274062502;0.1300433601;0.1426585693;2.847084198e-06
21;0.1557248199;0.1387945367;0.1273897352;0.1300583387;0.142625172;2.136951007e-06
22;0.1556323474;0.138896598;0.127337866;0.1300844567;0.1425919374;5.47627515e-07
23;0.1555785113;0.1389314758;0.1273187607;0.1300830089;0.142620094;1.737326276e-07
24;0.1555619917;0.1389338195;0.1273167676;0.130076929;0.1426451372;1.178992035e-07
25;0.155562372;0.1389314619;0.1273178616;0.1300755493;0.1426490372;1.165477214e-07
26;0.1555626656;0.1389311028;0.1273180409;0.1300754508;0.14264921;1.165355676e-07
27;0.1555626815;0.1389310919;0.1273180466;0.1300754513;0.1426492027;1.165355633e-07
28;0.1555626815;0.1389310919;0.1273180466;0.1300754513;0.1426492027;1.165355633e-07
