Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1934298321;0.1802947119;0.175049273;0.1827870811;0.1967902569;1
1;0.1535925047;0.07357872384;-2.775557562e-17;0.07416136607;0.1544079887;27.08808898
2;0.1854509539;0.158920942;0.1399892699;0.1610308187;0.1883016615;0.5858731132
3;0.04548536091;0.105561992;0.291658518;0.0341569567;0;80.70943548
4;0.1714543946;0.153585047;0.1551561947;0.1483434325;0.1694714953;0.5918763797
5;0.1784526743;0.1562529945;0.1475727323;0.1546871256;0.1788865784;0.5292964705
6;0;0.1241591948;0.1144596025;0.3537672496;0.03619335302;130.9539787
7;0.1606074069;0.1530436146;0.1442614193;0.174595138;0.1646172559;1.19826315
8;0.1766681475;0.1559320565;0.147241601;0.1566779269;0.1774596462;0.5240596219
9;0.09839701212;0.3145229425;0.06308936068;0.2374790887;0;152.940857
10;0.168841034;0.1717911451;0.138826377;0.1647580431;0.1597136815;1.365238395
11;0.1758854362;0.1575179654;0.1464000786;0.1574859385;0.1756850497;0.5195218846
12;0.2076860126;0.1632296948;0.1712311367;0.1809820848;0.1719223423;0.4643047271
13;0;0.2949779957;0.2032199415;0.142775267;0.3737990788;69.43243383
14;0.1869174113;0.1764045249;0.1744300172;0.177161403;0.1921100159;0.5799191174
15;0.1997969617;0.168234216;0.1724462465;0.1795307808;0.1795907251;0.4139394618
16;0.1694789641;0.1698265968;0.158684769;0.1688491697;0.1791825475;0.06083719436
17;0.2952802358;0.03908395302;0.1665664727;0.1142854345;0.1230355627;20.35736208
18;0.1820590913;0.1567523324;0.1594729394;0.1633927961;0.173567849;0.08902532832
19;0.1752188823;0.1638612193;0.1590443865;0.1663595972;0.1766207364;0.02831579786
20;0.1800828829;0.1671336916;0.1610539844;0.169012809;0.1790204739;0.0006466663328
21;0.1803445559;0.1670392284;0.1604261647;0.1686402398;0.1791891547;0.0001038455336
22;0.1802775773;0.1670312859;0.160418137;0.168659612;0.179318621;9.10238434e-05
23;0.180160948;0.1670761193;0.1604192432;0.1686125091;0.1795475212;6.605012972e-05
24;0.1799405337;0.1672033346;0.1604506681;0.168422824;0.179882567;2.979744386e-05
25;0.1797963337;0.1673172275;0.1604963359;0.1682168978;0.1800395534;1.178447819e-05
26;0.1797769292;0.1673499126;0.1605236578;0.1681284657;0.1800300523;8.007632127e-06
27;0.1797936084;0.1673433683;0.1605356319;0.168109476;0.180005058;7.176690404e-06
28;0.1798254878;0.1673201089;0.1605562375;0.1680871301;0.1799827479;6.03097167e-06
29;0.1798840179;0.1672647728;0.1605998717;0.1680441307;0.179977013;3.989227214e-06
30;0.1799535225;0.1671829461;0.160661334;0.1679857463;0.1800166327;1.603139115e-06
31;0.1799867196;0.1671271175;0.1607012531;0.1679491512;0.1800842809;2.802237241e-07
32;0.1799808407;0.1671206259;0.160704619;0.1679468634;0.180119989;1.792460398e-08
33;0.1799739224;0.1671256869;0.1607004823;0.1679509466;0.1801249606;2.072418311e-09
34;0.1799727681;0.1671269237;0.1606995394;0.1679518403;0.1801246411;1.804688721e-09
35;0.1799727193;0.1671269981;0.1606994851;0.1679518906;0.180124563;1.803491768e-09
36;0.1799729737;0.1671273531;0.1606992243;0.1679511762;0.1801237519;2.422633803e-09
37;0.1799727193;0.1671269981;0.1606994851;0.1679518906;0.180124563;1.803491768e-09
