Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1590500734;0.1333314771;0.1214193268;0.1256270227;0.147301729;1
1;0.2247702078;0.335837712;0.4252757326;0.2689147128;0.1793143488;92.26583354
2;0.1656220868;0.1535821005;0.1518049674;0.1399557917;0.150502991;0.0571270068
3;0.3731811379;0.3392715748;0;0.1895296673;0.2230906169;14.47325309
4;0.1863779919;0.172151048;0.1366244706;0.1449131793;0.1577617536;0.03972475842
5;0.4252757326;0.04958616705;0.1011554775;0.2998288977;0.2910646125;8.591373349
6;0.210267766;0.1598945599;0.1330775713;0.1604047511;0.1710920395;0.1010011785
7;0.1929616973;0.1687733221;0.1356469922;0.1491824514;0.1614354039;0.02998567936
8;0.2410481775;0.1481503904;0.1904758322;0;0.3366897889;4.709843153
9;0.1977703453;0.166711029;0.1411298762;0.1342642062;0.1789608424;0.05004865294
10;0.1939364893;0.1683552614;0.1367584628;0.146158278;0.1649880982;0.0295140518
11;0.05190272944;0.1794319415;0.1145554106;0.1709488348;0.4252757326;4.935036969
12;0.1797331133;0.1694629294;0.1345381576;0.1486373337;0.1910168617;0.08513397535
13;0.192502366;0.1684671033;0.1365342773;0.1464085897;0.1676162378;0.02873453244
14;0.1697151332;0.1479656986;0.1475376943;0.1396781598;0.1503635953;0.06311307114
15;0.1833488499;0.1602317927;0.1409542943;0.1437050101;0.1606859386;0.0009831638725
16;0.1841138511;0.1595801178;0.1416945957;0.1437900784;0.1610252928;0.000410754049
17;0.1853492305;0.1585816185;0.1422953254;0.1434653466;0.1614707593;0.0001055549829
18;0.1859985599;0.1579560544;0.1426633302;0.1430641804;0.161665879;3.748988154e-05
19;0.1861298729;0.1578128031;0.1427675808;0.1429110101;0.1617528104;3.371192745e-05
20;0.1861279145;0.1578095823;0.142779745;0.142881004;0.1617837164;3.357396626e-05
21;0.1861186067;0.1578156887;0.1427817511;0.142870351;0.1617989512;3.355225175e-05
22;0.1861168752;0.1578171594;0.1427812089;0.1428705643;0.1617995811;3.355195484e-05
23;0.186116732;0.1578172974;0.1427811187;0.1428706922;0.1617995219;3.355195199e-05
24;0.1861167319;0.1578172982;0.1427811165;0.1428706975;0.1617995166;3.355195199e-05
25;0.1861167319;0.1578172982;0.1427811165;0.1428706975;0.1617995166;3.355195199e-05
